arm,motif_len,snv_offset,mean_frac_score_eq_truth
BWA-no-clip,1,-1,0.9093187514240146
BWA-no-clip,1,1,0.6742386268702059
BWA-no-clip,1,2,0.7735778841041999
BWA-no-clip,1,5,0.8899217741323004
BWA-no-clip,1,10,0.9091592617908407
BWA-no-clip,2,-1,0.8383249158249159
BWA-no-clip,2,1,0.5873456790123457
BWA-no-clip,2,2,0.682996632996633
BWA-no-clip,2,5,0.7816582491582491
BWA-no-clip,2,10,0.8376879910213244
BWA-no-clip,3,-1,0.7766415073241641
BWA-no-clip,3,1,0.5399468858324947
BWA-no-clip,3,2,0.6143620708934362
BWA-no-clip,3,5,0.6966538074471654
BWA-no-clip,3,10,0.7704209996645421
BWA-std,1,-1,0.6394850763271815
BWA-std,1,1,0.2087871193134351
BWA-std,1,2,0.22617908407382092
BWA-std,1,5,0.26796536796536796
BWA-std,1,10,0.6027568922305765
BWA-std,2,-1,0.41207351290684624
BWA-std,2,1,0.12095117845117845
BWA-std,2,2,0.12723905723905723
BWA-std,2,5,0.16757295173961842
BWA-std,2,10,0.35737654320987655
BWA-std,3,-1,0.27089064072458907
BWA-std,3,1,0.12951358604495136
BWA-std,3,2,0.13574527563457453
BWA-std,3,5,0.13529632114502962
BWA-std,3,10,0.2616347981661635
NW-flex,1,-1,1.0
NW-flex,1,1,0.9476190476190476
NW-flex,1,2,1.0
NW-flex,1,5,1.0
NW-flex,1,10,1.0
NW-flex,2,-1,1.0
NW-flex,2,1,0.9229292929292929
NW-flex,2,2,0.9941470258136925
NW-flex,2,5,0.9995314253647587
NW-flex,2,10,1.0
NW-flex,3,-1,1.0
NW-flex,3,1,0.9258509448730851
NW-flex,3,2,0.9946617466174662
NW-flex,3,5,0.999370457340937
NW-flex,3,10,1.0
